w_R,w_P,w_U,a,b,N,R,P,U,G
0.04,0.06,0.9,0.215,3.62625,4.0,0.7403604246887387,0.1037565746777432,0.7726260056149525,0.06049354674911254
0.04,0.08,0.88,0.227595954792372,4.5,4.0,0.7410930682550355,0.0855398110327547,0.7718154435762953,0.06268660284617854
0.04,0.1,0.86,0.2275910357359154,4.5,4.0,0.7410930685181748,0.0855392204517092,0.7718153355721746,0.06268728998953148
0.04,0.12,0.84,0.2275910357359154,4.5,4.0,0.7410930685181748,0.0855392204517092,0.7718153355721746,0.06268797711247812
0.04,0.14,0.82,0.2275910357359154,4.5,4.0,0.7410930685181748,0.0855392204517092,0.7718153355721746,0.06268866423542475
0.04,0.16,0.8,0.2275910357359154,4.5,4.0,0.7410930685181748,0.0855392204517092,0.7718153355721746,0.06268935135837139
0.04,0.18,0.78,0.2275910357359154,4.5,4.0,0.7410930685181748,0.0855392204517092,0.7718153355721746,0.06269003848131803
0.04,0.2,0.76,0.2195,4.5,4.0,0.7411952233941057,0.0846576471632514,0.7719058737424537,0.06299740129280063
0.04,0.22,0.74,0.212,4.5,4.0,0.7414603042734753,0.0839894238771509,0.7724366352880776,0.06379628064451262
0.04,0.24,0.72,0.2055,4.5,4.0,0.7418102993238597,0.0835136355239396,0.7732091982333279,0.06523335104975606
0.04,0.26,0.7,0.2045,4.5,4.0,0.7418733654226133,0.0834482502100433,0.7733518471033883,0.07005071980260064
0.04,0.28,0.68,0.2035,4.5,4.0,0.7419387860053194,0.0833848419501931,0.7735005433653458,0.07479310984062063
0.04,0.3,0.66,0.2025,4.5,4.0,0.7420065242351247,0.083323373196943,0.7736551820485917,0.0794644220570716
0.04,0.32,0.64,0.2015,4.5,4.0,0.7420765432751761,0.0832638064028467,0.7738156581825176,0.08406844817863136
0.04,0.34,0.62,0.2001076557336187,4.5,4.0,0.7421777631609972,0.0831839658870201,0.7740486206938462,0.08833545596457
0.04,0.36,0.6,0.199,4.5,4.0,0.7422613276782817,0.0831229640837872,0.7742416984944385,0.09275579170356266
0.04,0.38,0.58,0.198,4.5,4.0,0.7423390394639752,0.0830697584605895,0.7744217790622019,0.0971488877077341
0.04,0.4,0.56,0.197,4.5,4.0,0.7424188662940752,0.0830182858330375,0.7746072247129068,0.10151284935742924
0.04,0.42,0.54,0.1955,4.5,4.0,0.7425424916668714,0.0829442441235061,0.7748952230962732,0.10570130062011425
0.04,0.44,0.52,0.194290027388449,4.5,4.0,0.7426455363384219,0.0828872117903968,0.7751359189578548,0.10966747814611774
0.04,0.46,0.5,0.193,4.5,4.0,0.7427585873214777,0.0828289743303597,0.7754005587329704,0.11378123000188546
0.04,0.48,0.48,0.1917519992922826,4.5,4.0,0.7428710140940785,0.0827750822437135,0.7756642449872218,0.11756936753178952
0.04,0.5,0.46,0.1905,4.5,4.0,0.7429867508519628,0.0827233624023023,0.775936145806535,0.12152737447506076
0.04,0.52,0.44,0.189,4.5,4.0,0.7431292021111299,0.08266438696231,0.7762713364314145,0.1252730891124986
0.04,0.54,0.42,0.1875,4.5,4.0,0.7432756662739345,0.0826085504267334,0.7766164728380895,0.12899460315741343
0.04,0.56,0.4,0.1857076969760212,4.5,4.0,0.7434557601804981,0.0825457721488703,0.7770414125908935,0.13249368479892104
0.04,0.58,0.38,0.1839662377425718,4.499999999999999,4.0,0.7436358617456886,0.0824886889072367,0.7774668410041983,0.1360214577380443
0.04,0.6,0.36,0.1823670434162197,4.5,4.0,0.7438055237199676,0.0824394953288339,0.7778679243095064,0.13963816543453098
0.04,0.62,0.34,0.1805,4.5,4.0,0.7440085722160658,0.0823857597640079,0.7783482051542975,0.14308101135162615
0.04,0.64,0.32,0.2230239703682651,4.5,2.0,0.7599338858777449,0.0760755305197009,0.7790228731817824,0.14579776325072052
0.04,0.66,0.3,0.2230239703682651,4.5,2.0,0.7599338858777449,0.0760755305197009,0.7790228731817824,0.13668615628574032
0.04,0.68,0.28,0.2230239703682651,4.5,2.0,0.7599338858777449,0.0760755305197009,0.7790228731817824,0.12757454932076012
0.04,0.7,0.26,0.2205,4.5,2.0,0.7598505439579581,0.0761138758205151,0.7790490130370952,0.11904510358316737
0.04,0.72,0.24,0.211,4.5,2.0,0.7596855037753467,0.0763694873374834,0.7795917031383747,0.11854988629127919
0.04,0.74,0.22,0.2085438844711118,4.5,2.0,0.7596784391526433,0.0764615204141665,0.7798387911301868,0.11852829454522189
0.04,0.76,0.2,0.2085438844711118,4.5,2.0,0.7596784391526433,0.0764615204141665,0.7798387911301868,0.11852731141217088
0.04,0.78,0.18,0.2085436097091347,4.5,2.0,0.7596784391311078,0.076461531255637,0.7798388210845841,0.11852632827911186
0.04,0.8,0.16,0.2085409291298545,4.5,2.0,0.7596784389299117,0.0764616370313653,0.7798391133466489,0.11852534514069335
0.04,0.82,0.14,0.2085409291298545,4.5,2.0,0.7596784389299117,0.0764616370313653,0.7798391133466489,0.11852436197555376
0.04,0.84,0.12,0.2085409291298545,4.5,2.0,0.7596784389299117,0.0764616370313653,0.7798391133466489,0.11852337881041417
0.04,0.86,0.1,0.2085367904812573,4.5,2.0,0.7596784386509968,0.076461800364937,0.779839564676702,0.11852239560219996
0.04,0.88,0.08,0.2085367904812573,4.5,2.0,0.7596784386509968,0.076461800364937,0.779839564676702,0.11852141239211281
0.04,0.9,0.06,0.2085345033639461,4.5,2.0,0.7596784385133786,0.0764618906386777,0.779839814142335,0.11852042915821863
