seed,N,generation,min_R,min_P,min_U
202612,4,11,0.7305863160172124,0.0803730898653527,0.7718506490921605
202612,4,21,0.7305861441079661,0.0803730898653527,0.7717914254905204
202612,4,31,0.7305861441079661,0.0803730898653527,0.7717868237504134
202612,4,41,0.7305861441079661,0.0803730898653527,0.7717868237504134
202612,4,50,0.7305861441079661,0.0803730898653527,0.7717867847995022
202612,6,1,0.7297800873963183,0.08500004058611427,0.7857925406840067
202612,6,11,0.7297451099663286,0.08423031629596314,0.785788776890981
202612,6,21,0.7297405700673875,0.08423031629596314,0.7857749732076841
202612,6,31,0.7297388314026932,0.08423031629596314,0.7857749732076841
202612,6,41,0.7297388314026932,0.08423031629596314,0.7857730089465621
202612,6,50,0.7297369925129238,0.08423031629596314,0.7857730089465621
202612,8,1,0.7278293895270204,0.09264210287103453,0.8048055390590568
202612,8,11,0.7278120075158494,0.0886106334225494,0.8047110330761156
202612,8,21,0.7278120075158494,0.0886106334225494,0.804704550703077
202612,8,31,0.7278113907758725,0.0886106334225494,0.804704550703077
202612,8,41,0.7278113907758725,0.0886106334225494,0.8047028770252246
202612,8,50,0.7278113907758725,0.0886106334225494,0.8046888335830569
202612,10,1,0.7202694693107535,0.09518890367759444,0.8066834657630435
202612,10,11,0.7202301272422941,0.08846360771333533,0.8064752739756352
202612,10,21,0.7202272234052032,0.08846360771333533,0.8064622853849238
202612,10,31,0.7202272234052032,0.08846360771333533,0.8064622853849238
202612,10,41,0.7202272234052032,0.08846360771333533,0.8064622853849238
202612,10,50,0.7202272234052032,0.08846360771333533,0.8064622853849238
202613,2,1,0.7363265233366922,0.07671208449744069,0.781675489206491
202613,2,11,0.7357866835153538,0.0760842228521936,0.7790293398494439
202613,2,21,0.7357866310826455,0.07604083529847624,0.7790228732492679
202613,2,31,0.7357866310281269,0.07604050346835975,0.7790228732492679
202613,2,41,0.7357866310281269,0.07604044500775216,0.7790228732492679
202613,2,50,0.7357866295605621,0.07603994001816405,0.7790228732492679
202613,4,1,0.7305979999852713,0.081827085135637,0.7718788877853624
202613,4,11,0.7305861490438302,0.08075371238086135,0.7718579075835305
202613,4,21,0.7305861444884927,0.0803730898653527,0.7717891851700249
202613,4,31,0.7305861444884927,0.0803730898653527,0.7717870799873805
202613,4,41,0.7305861444884927,0.0803730898653527,0.7717866254762343
202613,4,50,0.7305861444884927,0.0803730898653527,0.7717866254762343
202613,6,1,0.7303861952334962,0.08749501376176476,0.7858139557305156
202613,6,11,0.7297506979642202,0.08445919987927177,0.7857755999830957
202613,6,21,0.7297374598683695,0.08423031629596314,0.7857737385174781
202613,6,31,0.7297374598683695,0.08423031629596314,0.7857732541828258
202613,6,41,0.729737065681124,0.08423031629596314,0.7857732516348795
202613,6,50,0.729737065681124,0.08423031629596314,0.7857732516348795
202613,8,1,0.7282000545536601,0.09334730697446467,0.8046870979853405
202613,8,11,0.7278196696122332,0.0886106334225494,0.8046862395688017
202613,8,21,0.7278165283102509,0.0886106334225494,0.8046846452502286
202613,8,31,0.7278126992272816,0.0886106334225494,0.8046845034006617
202613,8,41,0.7278126992272816,0.0886106334225494,0.8046836361981139
202613,8,50,0.7278122270987955,0.0886106334225494,0.8046836361981139
202613,10,1,0.7202633854493391,0.09036177060834402,0.8066708294328508
202613,10,11,0.7202307452618117,0.08846360771333533,0.8064651472770835
202613,10,21,0.7202286711818917,0.08846360771333533,0.8064639834773006
202613,10,31,0.7202273357590787,0.08846360771333533,0.8064623778857819
202613,10,41,0.7202273357590787,0.08846360771333533,0.8064623778857819
202613,10,50,0.7202273357590787,0.08846360771333533,0.8064619159050329
202614,2,1,0.7379669340896112,0.07607408890109235,0.7790229280657238
202614,2,11,0.7357867644208924,0.07603981576956458,0.779022886694106
202614,2,21,0.7357866781013102,0.0760397938443063,0.7790228830714637
202614,2,31,0.7357866781013102,0.07603979252380767,0.7790228830714637
202614,2,41,0.7357866661777612,0.07603979252380767,0.7790228747245066
202614,2,50,0.7357866661777612,0.07603979197573651,0.7790228733635695
202614,4,1,0.7311932729405056,0.08170480449900702,0.7720459720145999
202614,4,11,0.7305861480051971,0.0803730898653527,0.7718181759361127
202614,4,21,0.7305861480051971,0.0803730898653527,0.7718059379692719
202614,4,31,0.7305861480051971,0.0803730898653527,0.7717903444632411
202614,4,41,0.7305861480051971,0.0803730898653527,0.7717873589880346
