response,degree,outer_fold,outer_repeat,test_size,selected_alpha,rmse,nrmse,max_absolute_error
R,3,37,7,16,1e-08,3.5657741238531096e-07,6.8756370371822885e-06,6.672892461923041e-07
R,3,38,7,16,1e-05,3.5360006539842367e-07,6.818226902651768e-06,6.263888979729515e-07
R,3,39,7,16,1e-05,2.9746313760807353e-07,5.7357771274767795e-06,5.084774633568045e-07
R,3,40,8,16,1e-05,2.6455829465414776e-07,5.101295668308508e-06,5.94013535581972e-07
R,3,41,8,16,1e-08,3.4841438939678975e-07,6.7182350783206925e-06,7.443079547142517e-07
R,3,42,8,16,1e-05,3.2994379637611144e-07,6.362079334685238e-06,6.375517408452325e-07
R,3,43,8,16,1e-08,3.4114314747863897e-07,6.578028720592327e-06,5.697655399705681e-07
R,3,44,8,16,1e-05,4.171507937169669e-07,8.043631895199986e-06,8.015493613289237e-07
R,3,45,9,16,1e-06,3.3509759549118756e-07,6.4614564989334424e-06,7.365893394117862e-07
R,3,46,9,16,1e-05,3.000823281493022e-07,5.786281177557354e-06,5.963847397039146e-07
R,3,47,9,16,1e-05,3.732412600583173e-07,7.196954552714313e-06,5.179386844966771e-07
R,3,48,9,16,1e-05,2.9321942562864e-07,5.653948547630006e-06,6.716322843436373e-07
R,3,49,9,16,1e-05,4.1086140830773627e-07,7.922358001344669e-06,6.807349406390273e-07
R,4,0,0,16,1e-06,4.1098007323577405e-07,7.924646135550292e-06,7.201284420998988e-07
R,4,1,0,16,1e-08,4.247634982858867e-07,8.190422442411182e-06,1.0949784989833233e-06
R,4,2,0,16,1e-08,5.585260532116877e-07,1.076967380520405e-05,1.4860432447916239e-06
R,4,3,0,16,1e-08,5.505745684499426e-07,1.061635079250192e-05,1.3531680457257167e-06
R,4,4,0,16,1e-08,4.817478449323726e-07,9.28921241264866e-06,9.946098268320824e-07
R,4,5,1,16,1e-05,4.4651572796749264e-07,8.609855729112285e-06,9.710778371418982e-07
R,4,6,1,16,1e-05,4.4153388960154833e-07,8.513794365738183e-06,8.047262838317693e-07
R,4,7,1,16,1e-05,3.7944420418566593e-07,7.316561658773753e-06,8.805314011262055e-07
R,4,8,1,16,1e-05,6.148003128077507e-07,1.1854771655150309e-05,1.6753109615130768e-06
R,4,9,1,16,1e-05,4.193747950280071e-07,8.08651578311268e-06,1.022693307040079e-06
R,4,10,2,16,1e-05,4.2069829530939785e-07,8.11203592891378e-06,7.763471466804006e-07
R,4,11,2,16,1e-05,3.602909237121944e-07,6.9472421224464265e-06,6.361766965445881e-07
R,4,12,2,16,1e-08,6.982009824330125e-07,1.3462929415804012e-05,1.3527900315501995e-06
R,4,13,2,16,1e-05,4.6810079100741045e-07,9.026065656416383e-06,1.0756156283431295e-06
R,4,14,2,16,1e-05,4.304294587189624e-07,8.299675261158905e-06,8.621004763398332e-07
R,4,15,3,16,1e-08,5.139812309304544e-07,9.910746629074911e-06,9.27109575554752e-07
R,4,16,3,16,1e-05,3.537050946559859e-07,6.820252109600385e-06,6.493800546181205e-07
