method,b,R,P,U,dominated_by_pin_pareto,points,dominated_points,minimum_dominance_margin
pchip,4.05975,0.768347780980097,0.08736939978062552,0.8385233395107208,True,,,
pchip,4.0605,0.7683531117178192,0.08735289536027073,0.838526442476954,True,,,
pchip,4.06125,0.7683584370983274,0.08733639726147414,0.8385295817779063,True,,,
pchip,4.062,0.7683637571088741,0.08731990549068942,0.8385327573551359,True,,,
pchip,4.06275,0.7683690717367117,0.0873034200543702,0.8385359691502017,True,,,
pchip,4.0635,0.7683743809690924,0.08728694095897009,0.8385392171046621,True,,,
pchip,4.0642499999999995,0.7683796847932689,0.08727046821094282,0.8385425011600752,True,,,
pchip,4.0649999999999995,0.7683849831964935,0.08725400181674195,0.838545821258,True,,,
pchip,4.0657499999999995,0.7683902761660186,0.08723754178282116,0.8385491773399947,True,,,
pchip,4.0665,0.7683955636890968,0.08722108811563407,0.8385525693476179,True,,,
pchip,4.06725,0.7684008457529802,0.08720464082163436,0.8385559972224281,True,,,
pchip,4.068,0.7684061223449217,0.08718819990727564,0.838559460905984,True,,,
pchip,4.06875,0.7684113934521731,0.08717176537901154,0.8385629603398438,True,,,
pchip,4.0695,0.7684166590619873,0.08715533724329576,0.8385664954655659,True,,,
pchip,4.07025,0.7684219191616165,0.08713891550658188,0.8385700662247092,True,,,
pchip,4.071,0.7684271737383133,0.08712250017532358,0.838573672558832,True,,,
pchip,4.07175,0.76843242277933,0.08710609125597449,0.8385773144094927,True,,,
pchip,4.0725,0.7684376662719188,0.08708968875498825,0.83858099171825,True,,,
pchip,4.07325,0.7684429042033326,0.08707329267881853,0.8385847044266622,True,,,
pchip,4.074,0.7684481365608236,0.08705690303391893,0.838588452476288,True,,,
pchip,4.07475,0.768453363331644,0.08704051982674312,0.8385922358086857,True,,,
pchip,4.0755,0.7684585845030465,0.08702414306374474,0.838596054365414,True,,,
pchip,4.07625,0.7684638000622834,0.08700777275137743,0.8385999080880312,True,,,
pchip,4.077,0.7684690099966073,0.08699140889609482,0.838603796918096,True,,,
pchip,4.07775,0.7684742142932702,0.08697505150435057,0.8386077207971667,True,,,
pchip,4.0785,0.768479412939525,0.08695870058259832,0.838611679666802,True,,,
pchip,4.07925,0.768484605922624,0.0869423561372917,0.8386156734685603,True,,,
pchip,4.08,0.7684897932298193,0.08692601817488438,0.8386197021440001,True,,,
pchip,4.08075,0.7684949748483637,0.08690968670182997,0.8386237656346798,True,,,
pchip,4.0815,0.7685001507655095,0.08689336172458213,0.838627863882158,True,,,
pchip,4.08225,0.768505320968509,0.0868770432495945,0.8386319968279932,True,,,
pchip,4.083,0.7685104854446148,0.08686073128332072,0.838636164413744,True,,,
pchip,4.08375,0.7685156441810792,0.08684442583221445,0.8386403665809687,True,,,
pchip,4.0845,0.7685207971651548,0.08682812690272931,0.838644603271226,True,,,
pchip,4.08525,0.7685259443840936,0.08681183450131895,0.8386488744260743,True,,,
pchip,4.086,0.7685310858251484,0.08679554863443702,0.838653179987072,True,,,
pchip,4.08675,0.7685362214755715,0.08677926930853713,0.8386575198957777,True,,,
pchip,4.0875,0.7685413513226156,0.08676299653007297,0.83866189409375,True,,,
pchip,4.08825,0.7685464753535327,0.08674673030549815,0.8386663025225473,True,,,
pchip,4.089,0.7685515935555753,0.08673047064126634,0.838670745123728,True,,,
pchip,4.08975,0.7685567059159961,0.08671421754383116,0.8386752218388507,True,,,
pchip,4.0905000000000005,0.7685618124220471,0.08669797101964626,0.838679732609474,True,,,
pchip,4.0912500000000005,0.7685669130609812,0.08668173107516527,0.8386842773771562,True,,,
pchip,4.0920000000000005,0.7685720078200504,0.08666549771684186,0.838688856083456,True,,,
pchip,4.0927500000000006,0.7685770966865073,0.08664927095112966,0.8386934686699318,True,,,
pchip,4.0935,0.7685821796476044,0.08663305078448233,0.838698115078142,True,,,
pchip,4.09425,0.768587256690594,0.08661683722335344,0.8387027952496452,True,,,
pchip,4.095,0.7685923278027287,0.0866006302741967,0.838707509126,True,,,
pchip,4.09575,0.7685973929712605,0.08658442994346575,0.8387122566487647,True,,,
pchip,4.0965,0.7686024521834423,0.08656823623761423,0.8387170377594979,True,,,
pchip,4.09725,0.7686075054265261,0.08655204916309577,0.8387218523997583,True,,,
pchip,4.098,0.7686125526877647,0.086535868726364,0.838726700511104,True,,,
pchip,4.09875,0.7686175939544104,0.08651969493387257,0.8387315820350938,True,,,
pchip,4.0995,0.7686226292137155,0.08650352779207515,0.838736496913286,True,,,
pchip,4.10025,0.7686276584529325,0.08648736730742537,0.8387414450872392,True,,,
pchip,4.101,0.7686326816593138,0.08647121348637685,0.838746426498512,True,,,
pchip,4.10175,0.7686376988201119,0.08645506633538326,0.8387514410886627,True,,,
pchip,4.1025,0.768642709922579,0.08643892586089823,0.8387564887992499,True,,,
pchip,4.10325,0.7686477149539679,0.0864227920693754,0.8387615695718322,True,,,
pchip,4.104,0.7686527139015308,0.08640666496726843,0.838766683347968,True,,,
pchip,4.10475,0.76865770675252,0.08639054456103093,0.8387718300692157,True,,,
pchip,4.1055,0.7686626934941881,0.08637443085711657,0.838777009677134,True,,,
pchip,4.10625,0.7686676741137874,0.08635832386197899,0.8387822221132811,True,,,
pchip,4.107,0.7686726485985705,0.08634222358207183,0.838787467319216,True,,,
pchip,4.10775,0.7686776169357896,0.08632613002384873,0.8387927452364967,True,,,
pchip,4.1085,0.7686825791126973,0.08631004319376331,0.838798055806682,True,,,
pchip,4.10925,0.7686875351165461,0.08629396309826926,0.8388033989713303,True,,,
pchip,4.11,0.768692484934588,0.0862778897438202,0.838808774672,True,,,
pchip,4.11075,0.7686974285540759,0.08626182313686974,0.8388141828502498,True,,,
pchip,4.1114999999999995,0.7687023659622618,0.0862457632838716,0.8388196234476379,True,,,
pchip,4.1122499999999995,0.7687072971463986,0.08622971019127935,0.8388250964057232,True,,,
pchip,4.1129999999999995,0.7687122220937382,0.08621366386554667,0.838830601666064,True,,,
pchip,4.11375,0.7687171407915334,0.08619762431312718,0.8388361391702187,True,,,
pchip,4.1145,0.7687220532270367,0.08618159154047454,0.838841708859746,True,,,
pchip,4.11525,0.7687269593874999,0.08616556555404238,0.8388473106762042,True,,,
pchip,4.116,0.7687318592601762,0.08614954636028435,0.8388529445611519,True,,,
pchip,4.11675,0.7687367528323172,0.0861335339656541,0.8388586104561477,True,,,
pchip,4.1175,0.7687416400911763,0.08611752837660526,0.8388643083027499,True,,,
pchip,4.11825,0.7687465210240052,0.08610152959959148,0.8388700380425173,True,,,
pchip,4.119,0.7687513956180565,0.0860855376410664,0.838875799617008,True,,,
pchip,4.11975,0.7687562638605826,0.08606955250748366,0.8388815929677808,True,,,
pchip,4.1205,0.7687611257388359,0.08605357420529691,0.838887418036394,True,,,
pchip,4.12125,0.7687659812400691,0.08603760274095978,0.8388932747644062,True,,,
pchip,4.122,0.7687708303515343,0.08602163812092592,0.838899163093376,True,,,
pchip,4.12275,0.768775673060484,0.08600568035164899,0.8389050829648617,True,,,
pchip,4.1235,0.7687805093541707,0.08598972943958261,0.838911034320422,True,,,
pchip,4.12425,0.7687853392198468,0.08597378539118042,0.8389170171016153,True,,,
pchip,4.125,0.7687901626447646,0.08595784821289608,0.83892303125,True,,,
pchip,4.12575,0.7687949796161766,0.08594191791118322,0.8389290767071348,True,,,
pchip,4.1265,0.7687997901213354,0.0859259944924955,0.8389351534145779,True,,,
pchip,4.12725,0.7688045941474929,0.08591007796328652,0.8389412613138882,True,,,
pchip,4.128,0.7688093916819022,0.08589416833000998,0.838947400346624,True,,,
pchip,4.12875,0.7688141827118153,0.08587826559911949,0.8389535704543437,True,,,
pchip,4.1295,0.7688189672244846,0.08586236977706868,0.838959771578606,True,,,
pchip,4.13025,0.7688237452071629,0.08584648087031123,0.8389660036609693,True,,,
pchip,4.131,0.7688285166471021,0.08583059888530074,0.838972266642992,True,,,
pchip,4.13175,0.768833281531555,0.0858147238284909,0.8389785604662326,True,,,
pchip,4.1325,0.7688380398477738,0.08579885570633532,0.83898488507225,True,,,
pchip,4.13325,0.768842791583011,0.08578299452528765,0.8389912404026022,True,,,
pchip,4.134,0.7688475367245192,0.08576714029180152,0.838997626398848,True,,,
pchip,4.13475,0.7688522752595505,0.08575129301233059,0.8390040430025457,True,,,
pchip,4.1355,0.7688570071753575,0.08573545269332851,0.839010490155254,True,,,
pchip,4.13625,0.7688617324591928,0.08571961934124891,0.8390169677985312,True,,,
pchip,4.1370000000000005,0.7688664510983085,0.08570379296254543,0.839023475873936,True,,,
pchip,4.1377500000000005,0.7688711630799572,0.08568797356367172,0.8390300143230268,True,,,
pchip,4.1385000000000005,0.7688758683913911,0.08567216115108142,0.8390365830873621,True,,,
pchip,4.1392500000000005,0.7688805670198628,0.08565635573122816,0.8390431821085003,True,,,
pchip,4.140000000000001,0.7688852589526247,0.08564055731056562,0.8390498113279999,True,,,
pchip,4.14075,0.7688899441769294,0.08562476589554743,0.8390564706874197,True,,,
pchip,4.1415,0.7688946226800291,0.08560898149262718,0.8390631601283179,True,,,
pchip,4.14225,0.7688992944491762,0.08559320410825856,0.8390698795922532,True,,,
pchip,4.143,0.7689039594716233,0.0855774337488952,0.8390766290207841,True,,,
pchip,4.14375,0.7689086177346225,0.08556167042099076,0.8390834083554687,True,,,
pchip,4.1445,0.7689132692254266,0.08554591413099888,0.8390902175378661,True,,,
pchip,4.14525,0.7689179139312878,0.08553016488537318,0.8390970565095341,True,,,
pchip,4.146,0.7689225518394586,0.08551442269056732,0.8391039252120319,True,,,
pchip,4.14675,0.7689271829371913,0.08549868755303493,0.8391108235869178,True,,,
pchip,4.1475,0.7689318072117385,0.08548295947922967,0.83911775157575,True,,,
pchip,4.14825,0.7689364246503525,0.08546723847560518,0.8391247091200873,True,,,
pchip,4.149,0.7689410352402857,0.08545152454861507,0.839131696161488,True,,,
pchip,4.14975,0.7689456389687908,0.08543581770471304,0.8391387126415107,True,,,
pchip,4.1505,0.7689502358231197,0.08542011795035269,0.839145758501714,True,,,
pchip,4.15125,0.7689548257905253,0.08540442529198768,0.8391528336836562,True,,,
pchip,4.152,0.7689594088582598,0.08538873973607164,0.839159938128896,True,,,
pchip,4.15275,0.7689639850135757,0.08537306128905821,0.8391670717789917,True,,,
pchip,4.1535,0.7689685542437255,0.08535738995740105,0.839174234575502,True,,,
pchip,4.15425,0.7689731165359611,0.0853417257475538,0.8391814264599852,True,,,
pchip,4.155,0.7689776718775356,0.08532606866597009,0.839188647374,True,,,
pchip,4.15575,0.7689822202557011,0.08531041871910358,0.8391958972591048,True,,,
pchip,4.1565,0.7689867616577101,0.08529477591340791,0.839203176056858,True,,,
pchip,4.15725,0.7689912960708151,0.08527914025533669,0.8392104837088182,True,,,
pchip,4.1579999999999995,0.7689958234822681,0.08526351175134363,0.839217820156544,True,,,
pchip,4.1587499999999995,0.769000343879322,0.08524789040788229,0.8392251853415937,True,,,
pchip,4.1594999999999995,0.769004857249229,0.08523227623140638,0.839232579205526,True,,,
pchip,4.16025,0.7690093635792417,0.08521666922836951,0.8392400016898992,True,,,
pchip,4.161,0.7690138628566122,0.08520106940522532,0.839247452736272,True,,,
pchip,4.16175,0.7690183550685933,0.08518547676842747,0.8392549322862027,True,,,
pchip,4.1625,0.7690228402024372,0.08516989132442958,0.8392624402812501,True,,,
pchip,4.16325,0.7690273182453962,0.08515431307968531,0.8392699766629722,True,,,
pchip,4.164,0.7690317891847229,0.08513874204064832,0.839277541372928,True,,,
pchip,4.16475,0.7690362530076698,0.0851231782137722,0.8392851343526758,True,,,
pchip,4.1655,0.7690407097014892,0.08510762160551065,0.839292755543774,True,,,
pchip,4.16625,0.7690451592534334,0.08509207222231728,0.8393004048877812,True,,,
pchip,4.167,0.7690496016507551,0.08507653007064574,0.839308082326256,True,,,
