seed,a,b,N,R,P,U
202602,0.22648660826226572,3.163523208248649,6.0,0.7302702172780173,0.13632043802680655,0.792869931726413
202602,0.18551803548368923,4.5,6.0,0.7386739273215626,0.09158120348308263,0.7952569277326885
202602,0.23814865140025995,3.0659936010705797,6.0,0.7297534766861028,0.1441919778827981,0.7968792753713906
202602,0.23526970819627785,3.0831634311997864,6.0,0.7297966283149593,0.14252011676454646,0.7960883542397494
202602,0.20109664960045395,4.5,6.0,0.7364767245947155,0.09365346426174637,0.792201159566453
202602,0.2056669806212293,3.4575223744224837,6.0,0.7341398661569146,0.11982585069957499,0.787934435896426
202602,0.22304611358417814,3.235277903798642,6.0,0.730839606745026,0.13218358637025635,0.7904454333341989
202602,0.23768406219955765,4.5,6.0,0.733933715673166,0.10105329980615463,0.7908732960905794
202602,0.18322305052497131,4.5,6.0,0.7390401456004971,0.0913163840842229,0.7957937102441327
202602,0.1719952270765329,4.5,6.0,0.740962117100473,0.09014290439928248,0.7986631355227967
202602,0.22545594091495894,4.5,6.0,0.7343021314703412,0.09811039519937675,0.790196170688339
202602,0.20996672336437822,4.498807819527612,6.0,0.7355152698905817,0.0951059946586292,0.7910486645706344
202602,0.1748769944968108,4.5,6.0,0.7404497470030234,0.09042635256748398,0.7978925956131075
202602,0.23200489055874512,3.1314652738439017,6.0,0.7299816667325034,0.1392135707082674,0.7938518469578513
202602,0.2201890692186857,4.5,6.0,0.7346205649446244,0.09699915902355981,0.7902820488999748
202602,0.23693926077904354,3.134596643755661,6.0,0.7299379045316554,0.14032197333311686,0.7934336761357111
202602,0.23273528655459094,3.443594180121025,6.0,0.7326079992765824,0.12586583202620502,0.7860241806374599
202602,0.21522781425915682,3.388123643940606,8.0,0.7300869458093744,0.13435757360236897,0.80604836371535
202602,0.21147749752894535,3.3974493968076565,8.0,0.7304631016331582,0.1329822047793658,0.8062402180367908
202602,0.23166603463814683,3.0721801510708198,10.0,0.7202278809197346,0.15813742494019534,0.8191374966266988
202602,0.21711835003436006,3.5316885885881737,10.0,0.7256220994234531,0.13311126166850273,0.8064627152892652
202602,0.23403270490922284,3.0736836342693628,10.0,0.7202350106430929,0.15906800174735092,0.8190266168744308
202602,0.18237331151667568,3.4215635837670417,10.0,0.7277603872089111,0.12692464242596216,0.8100072992636324
202602,0.20744412077195365,3.251101846950753,10.0,0.7222902769010716,0.14063844654030802,0.811710090291922
202602,0.2223676144838765,3.1881002789108077,10.0,0.7208234317789547,0.14867018224399672,0.8132722904868567
202602,0.20314115167751778,3.4702006637909233,10.0,0.7258272955528762,0.13065677745240584,0.8072459405659268
202602,0.20405241700139568,3.1602630436968715,10.0,0.7218430838524763,0.14377160430927213,0.8161432709379757
202602,0.20789090748045705,3.358376171531815,10.0,0.7235651368652699,0.13630164013009197,0.8085654353569909
202602,0.19830862966800356,3.6413255673727356,10.0,0.7297183607511872,0.12371071066844992,0.8075057926925272
202602,0.2054385535536989,3.2986339273848135,10.0,0.7230035591899469,0.1379682797927949,0.8102958019966819
202602,0.2042727805435469,3.554977718748845,10.0,0.727259211166759,0.1281317236250548,0.8068317097188058
202602,0.21242636286123545,3.1612256459971455,10.0,0.7211841952045415,0.14640146421336228,0.8151923433334816
202602,0.20215775966524854,3.427421258508724,10.0,0.7252059430424646,0.13190666288967504,0.8077903655248975
202602,0.21030298997967964,3.4472856972807717,10.0,0.7247188789909844,0.13371671504401686,0.8070451865681353
202602,0.22969964972275667,3.1047059065013456,10.0,0.7202781118881123,0.1556378925982327,0.8172441182001527
202602,0.20766356937383584,3.161805812441282,10.0,0.7215421530401209,0.14481820038385643,0.8156419560674734
202602,0.17141292043844225,3.6222288508851497,10.0,0.7337428995368668,0.11782768585357833,0.8101463000894265
202602,0.17743519525093343,3.5571051607881,10.0,0.7312234950597507,0.12112565703337871,0.8093679334955554
202602,0.1828260314282923,3.5274236090147117,10.0,0.7297031279045555,0.12331306044482336,0.8088276143276129
202602,0.18385752374212797,3.6699155725563015,10.0,0.7325498542995855,0.11914420442435263,0.8089895672160748
202602,0.17841120127502055,3.588530909568985,10.0,0.7317230693941084,0.12034224531096847,0.8092313606930205
202602,0.22041590387416402,3.0712719456272297,10.0,0.7204616670094659,0.15374269413336727,0.8197306137709942
202602,0.22225105759886613,3.128300206012985,10.0,0.7205171776714777,0.15151409113908265,0.8162060009190626
202602,0.1828276785127348,3.5687872906310387,10.0,0.7305526311246069,0.1219667837505699,0.8087181007146738
202602,0.18503284535299824,3.7048353897496193,10.0,0.733114192498229,0.11843552978384542,0.8091854283559896
202603,0.22302740833806997,4.5,2.0,0.7599340113494193,0.07607548740767717,0.7790228732018154
202603,0.2286053795006531,4.5,2.0,0.7601819475630972,0.07603979266220146,0.7791549667009351
202603,0.20843619050072376,4.5,2.0,0.7596784437066789,0.07646577893927728,0.7798505709939525
202603,0.2113765667263288,4.5,2.0,0.7596878204839576,0.07635625864730747,0.7795575286441988
202603,0.1,4.5,4.0,0.7544370512906237,0.0803730898653527,0.8016311570728486
202603,0.24132638436397053,3.0,4.0,0.7305861440737809,0.1334841589803253,0.7871541184497203
202603,0.22531580923713374,4.5,4.0,0.7411014316643632,0.08527336074011554,0.7717871478664611
202603,0.2502601284433422,3.0,4.0,0.7307163431963406,0.1351178949293326,0.7869459755739832
202603,0.21400263074578738,3.667543351415773,4.0,0.7410840844560724,0.10242954202989342,0.772862206603771
202603,0.22764564125090023,4.5,4.0,0.7410930699460528,0.08554578023935364,0.7718165460002427
202603,0.2287940111143189,3.3010327354752085,4.0,0.7343849804386483,0.11695269090735531,0.7745872534279495
202603,0.12714328912034312,4.5,4.0,0.751046173587089,0.08148578552614522,0.7946173218142063
202603,0.12234085506835021,4.5,4.0,0.7516937203799086,0.08136012181896674,0.7960294316720617
202603,0.1360568343772461,4.5,4.0,0.7498171172506367,0.08166547193528456,0.791878464771542
202603,0.10463575052096273,4.499999999999999,4.0,0.753915564407,0.08064393133366485,0.8006320482320147
202603,0.2245514349989991,3.5759072502767717,4.0,0.7391957286335884,0.10630022579855913,0.7719507727324819
202603,0.1161193127835564,4.5,4.0,0.7525089732452578,0.08115872541279862,0.7977687440043831
202603,0.21924688215730403,3.369535317953038,4.0,0.7357935455036426,0.11308980488340176,0.7739503620127725
202603,0.12006720109349739,4.5,4.0,0.7519951375474213,0.08129197090644219,0.796677960329438
202603,0.14442349933423282,4.5,4.0,0.7486509288780434,0.08179078539054313,0.7892240621137161
202603,0.11355904627216651,4.5,4.0,0.7528348375543007,0.08106128260636047,0.798449628595228
202603,0.13070857304106084,4.5,4.0,0.7505578289255642,0.08156501108311895,0.7935374193610705
202603,0.1691680608102494,4.5,4.0,0.7453422387067671,0.0821312173430643,0.7815023306219865
202603,0.14774666945901513,4.5,4.0,0.7481892731848433,0.0818339200749053,0.7881612992846623
202603,0.22890170514297423,3.0753013867712196,4.0,0.7314234922841031,0.12758915339780288,0.7836185424693126
202603,0.2406282877479036,3.05872922400116,4.0,0.7310836737702013,0.13016119538433207,0.78355414206373
202603,0.16317518070478407,4.5,4.0,0.7461056120760883,0.08203383752175017,0.783301485539729
202603,0.22452540131619858,3.3813869022328022,4.0,0.735807313562467,0.11318736443442166,0.7732706538679217
202603,0.20283119843317454,4.5,4.0,0.7419838350225968,0.0833435190587373,0.7736033142849728
202603,0.20849030340653477,3.3758570347888943,4.0,0.7364814527913716,0.11191910174989804,0.7753166096788612
202603,0.18300783689086544,4.5,4.0,0.7437370594804158,0.08245884656733138,0.7777060435394271
202603,0.21678889334885038,4.5,4.0,0.7412729876725488,0.08440043645598055,0.7720505746124458
202603,0.22741748138992257,3.4733532293967166,4.0,0.7373384674728635,0.11010644315830563,0.7721139359270803
202603,0.20525779080968834,3.3851927784150475,4.0,0.736856318222725,0.11133063535632057,0.7756925989654929
202603,0.21056276451311615,3.500185450125577,4.0,0.7384370253284814,0.10749451013064042,0.7733629850281233
202603,0.18204385018879968,4.5,4.0,0.7438402950005002,0.08242991440120168,0.7779501530166492
202603,0.250619660733746,3.0128020438551912,4.0,0.7308320030458954,0.13447571799317956,0.7861502627948427
202603,0.23171800973517412,3.2888987547721076,4.0,0.734145996782383,0.1178484123666378,0.7747302261848017
202603,0.15776867073517045,4.5,4.0,0.7468201603195554,0.08195932121291341,0.7849779143978205
202603,0.15643138652306451,4.5,4.0,0.7469999815484163,0.08194212237284429,0.7853983655170808
202603,0.21130479216949105,3.5710508755439236,4.0,0.7396075765966601,0.1051820920227696,0.772971841219736
202603,0.2140138293583716,3.5914590972433325,4.0,0.7398186371260966,0.10475393459539802,0.7726676101448486
