a,b,N,S1-A,S1-B,S2-A,S2-B,S3-A,S3-B,max_model_regret,mean_model_regret
0.105,3.86875,10.0,1.7922865783949815,1.8695224095401055,1.875089654862103,2.0106793105926846,2.1080148467466184,2.214163678067483,0.8250390797082648,0.74054275082967
0.105,3.9875,2.0,2.072466797133293,2.072547174460673,2.1604531558942033,2.1605307510460774,2.3952239487899245,2.395296955751214,1.1052192984465763,0.9716698016415717
0.105,3.9875,4.0,1.813128582545514,1.813207829737369,1.8999174817665954,1.8999936527616694,2.1319132314965596,2.131985322416567,0.8458810838587972,0.7106076879163865
0.105,3.9875,6.0,1.7859897229351356,1.7862275052294907,1.8721538821621577,1.8794724973473995,2.104180417478107,2.104253140200446,0.8187422242484189,0.684296198687797
0.105,3.9875,8.0,1.8544685412319564,2.0300681099796836,1.9398950458811253,2.175552232596914,2.1730888650855484,2.3815705521895434,0.9219493433251651,0.8546905622898026
0.105,3.9875,10.0,1.8827480578566311,1.9394146335470852,1.9659755349435448,2.0766284308405276,2.2000319519970293,2.2807818828128026,0.9155005591699145,0.8198467531286108
0.105,4.10625,2.0,2.1016725983115867,2.101753040868396,2.190244720163892,2.1903223782933408,2.425378588922072,2.425451804286331,1.13442509962487,1.0013871929366107
0.105,4.10625,4.0,1.8317220197137583,1.8318014204777204,1.9188310395929074,1.9189073579704745,2.1511604297404876,2.1512327546401186,0.8644745210270416,0.7295258414849185
0.105,4.10625,6.0,1.8100122353103383,1.8122669860104503,1.8965310048716737,1.9151137319659004,2.128933528344661,2.130613532268615,0.8427647366236216,0.7111618409242806
0.105,4.10625,8.0,1.9002011155554457,2.093352173030157,1.9860376856884525,2.239343252017197,2.219788317819096,2.4462251732929094,0.9857403627454484,0.9097412906962171
0.105,4.10625,10.0,1.9663460726564743,2.0149739507292384,2.0501697838929327,2.1504886230892226,2.2852427364019743,2.3556782353648877,0.9990985739697577,0.899399904818129
0.105,4.225,2.0,2.1112385399462434,2.11131905579845,2.2002432307544377,2.200320922278107,2.435623963240845,2.435697307426599,1.1439910412595267,1.0113238410364545
0.105,4.225,4.0,1.8328330347859412,1.8329125652423919,1.920418581183199,1.9204952977967207,2.1528501121363486,2.152922556209698,0.8655855360992245,0.7309886956880574
0.105,4.225,6.0,1.818869851249531,1.8310486753631245,1.9058586804917668,1.9476513091529895,2.138421454197846,2.152087991008582,0.8516223525628143,0.7279063313729809
